,Check-Ins
0,54551
1,6986
2,2664
3,13474
4,4041
5,100
6,32157
7,8624
8,6995
9,4330
10,14716
11,5146
12,52636
13,68883
14,9176
15,17172
16,9180
17,9714
18,1029
19,3216
20,21783
21,13255
22,1852
23,11946
24,11802
25,1623
26,562
27,12706
28,4734
29,2496
30,301
31,15245
32,5958
33,8898
34,15876
35,12616
36,2784
37,5464
38,6089
39,17792
40,6614
41,25270
42,5504
43,1324
44,4392
45,6629
46,3101
47,645
48,44950
49,4735
50,3138
51,7567
52,3246
53,22690
54,57850
55,5438
56,18978
57,7298
58,3250
59,3238
60,42022
61,4070
62,23681
63,9924
64,1618
65,8498
66,17244
67,1512
68,7133
69,3257
70,5159
71,13029
72,2755
73,2157
74,5899
75,4775
76,14038
77,8998
